experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-A,AN,mc_raw,table,2048,1,AN,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,ideal_return_gain,0.028095038930868323,0.003819092414698901,10,0.025932588426519534,0.030450052617563,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,actual_return_gain,0.01236809733860943,0.0009573359235906185,10,0.011762577499609407,0.012670907156366526,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,learned_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,projected_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,realized_path_derivative,0.11854010003418272,0.007649914751599642,10,0.11370154007714713,0.12095972822984484,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,forward_kl_training,0.00013589189376954797,4.376345335828618e-05,10,0.00010943262251004329,0.00016250405415153683,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,forward_kl_validation,0.00013599137708874117,4.480127434052809e-05,10,0.00010908170735320603,0.00016327820022429907,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,forward_kl_exact,0.00013612219821319105,4.373487410906191e-05,10,0.00010977236433130932,0.00016258478071095,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,old_new_kl,9.43883358170233e-05,9.487463787629485e-08,10,9.432637249167916e-05,9.442151165054104e-05,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,direction_realization_residual,0.0278114815638054,0.009037487752631676,10,0.022359166374498606,0.033322714932891455,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,seconds,0.00048275995068252086,0.0002308504902792054,10,0.0003978199325501919,0.0006329519185237587,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,learned_q_0,0.047796754880908406,0.05223633653812122,10,0.01711915834341735,0.07872300189482168,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,learned_q_1,0.36525904506792617,0.04451961442341994,10,0.3389202291671817,0.3925180948558074,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,candidate_p_0,0.3050772942787719,0.003984174308880046,10,0.30255730532871755,0.30633747201831185,training_seed_or_data_batch,False,,,
P-A,AN,mc_raw,table,2048,1,AN,False,candidate_p_1,0.7062619516364175,8.566198132881007e-10,10,0.7062619511117836,0.706261952135841,training_seed_or_data_batch,False,,,
