experiment,method,observation_mode,source_n,target_n,relation_layers,direction_check,return_check,source_horizon,source_budget,source_profile,source_smoke_only,smoke_only,source_experiment,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,source_steps_total,260800.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,budget,262144.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,unused_budget,1344.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,rounds,79.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,actor_updates,79.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,actor_parameters,350721.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,critic_parameters,19969.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,diagnostic_steps,0.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,wall_seconds,4035.906414399855,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,source_source_monitor_steps,8000.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,source_train_steps,252800.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,episodes,20.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,discounted_return,-116.12893969742382,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,return_undiscounted,-275.40031629462277,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,completion_time,200.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,coverage,0.0125,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,mean_goal_distance,0.8078392219676795,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,collisions_per_step,0.05375,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,collision_participation_per_agent_step,0.026875,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,entity_count,7.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,truncated_entity_count,0.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,inference_seconds_per_joint_step,0.007274627183913253,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,initial_successes,0.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,success_rate,0.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,source_report_only_steps,4000.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,target_report_only_steps,0.0,,1,,,training_seed_or_data_batch,True
N-C,AN,full,4,4,2,False,False,200,262144,pilot,False,False,N-C,report_evaluation_steps,4000.0,,1,,,training_seed_or_data_batch,True
