experiment,method,label,data_seed,dataset_sha256,sample_episodes,source_steps_total,source_steps_training,source_steps_validation,direction_error,direction_norm,exact_score,validation_score,validation_score_variance,validation_gradient_trace_variance,fixed_oracle_q_score_variance,fixed_oracle_q_gradient_trace_variance,curvature_min,curvature_max,optimization_seconds,direction_loss,direction_steps,q_bound,q_coefficient_0,q_coefficient_1
P-E,AN,exact_advantage,1000,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,32,532,32,500,0.0015599243616501348,0.04859020202949405,0.0649680756383498,0.09120854872959651,0.18851543336080887,3.1366551346431617,0.24590288604890387,3.1196751665258953,0.84,0.8400000000000001,0.006650700233876705,-0.05065869818598722,100,5.0,0.07079882152016449,0.3050696350974175
P-E,SA,exact_advantage,1000,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,32,532,32,500,0.0007010796732580258,0.05671560444804414,0.06582692032674192,0.09427833293676414,0.22304971344037394,3.2202849429035876,0.2544492187411684,3.2288178602333204,0.36,1.9599999999999997,0.00672039994969964,-0.0550972695810638,100,5.0,0.08415345986485462,0.3283439629437698
P-E,AN,mc_raw,1000,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,32,532,32,500,0.0013190024645922077,0.05083361298452695,0.06520899753540771,0.0891080952408017,0.20452015249117367,3.479318844797895,0.2821353912346353,3.4732892836062916,0.84,0.8400000000000001,0.0050500002689659595,-0.053617494883544455,100,5.0,0.026331391488430646,0.3168566160028693
P-E,SA,mc_raw,1000,d733245bfc97b8703411e4969e157138c0d57d3b36b0978845030971511eef25,32,532,32,500,0.0004464062547232775,0.05934244796810411,0.06608159374527664,0.09183734176276248,0.2393778075622326,3.667988299125393,0.2966145490280332,3.6694690376744195,0.36,1.9599999999999997,0.005406499840319157,-0.05815159246363945,100,5.0,0.03077382677923629,0.34221572149923396
P-E,AN,exact_advantage,1001,d90a939fbe7d9055f8ae617407e4ef50623e788e7162591d0513efc14b1bc44f,32,532,32,500,0.23592616822793316,0.4366755777934549,-0.1693981682279332,-0.19547212337569964,3.400672842691126,4.6970315330303425,0.4240687266451923,4.53107495644565,0.84,0.8400000000000001,0.005111000034958124,-0.42151624802556487,100,5.0,0.8216491371801056,0.6452505411001436
P-E,SA,exact_advantage,1001,d90a939fbe7d9055f8ae617407e4ef50623e788e7162591d0513efc14b1bc44f,32,532,32,500,0.2043973736213227,0.41385466184786707,-0.1378693736213228,-0.15759956944876682,3.205761404693181,5.2268837531218715,0.44797010883889166,4.86749151492582,0.36,1.9599999999999997,0.004889599978923798,-0.41268851898321424,100,5.0,0.7351437527112306,0.6788588296881275
P-E,AN,mc_raw,1001,d90a939fbe7d9055f8ae617407e4ef50623e788e7162591d0513efc14b1bc44f,32,532,32,500,0.25097847578308546,0.45737955121665475,-0.18445047578308554,-0.1925614992212155,4.077095016741619,5.477613808295685,0.5173516164975367,5.3176051024379065,0.84,0.8400000000000001,0.0053844996728003025,-0.44095115654334727,100,5.0,0.8431770843925667,0.6584330230127347
P-E,SA,mc_raw,1001,d90a939fbe7d9055f8ae617407e4ef50623e788e7162591d0513efc14b1bc44f,32,532,32,500,0.21812678907308083,0.43342525874854787,-0.1515987890730809,-0.15193505628971812,3.876659548343196,6.1576415388309345,0.5482685957541619,5.756828977900833,0.36,1.9599999999999997,0.004781399853527546,-0.4314213727624234,100,5.0,0.7550615387890309,0.6927424725294684
P-E,AN,exact_advantage,1002,5611e1dbe7a7be4a4dcba9c2ce8f1012a1d306922dd5a74381c6f001f10c1ae6,32,532,32,500,0.06346696702238774,0.20529068606036105,0.0030610329776122325,0.056888840007405746,1.7591897103160088,4.899039995086997,0.3895296671808427,4.871624622376345,0.84,0.8400000000000001,0.005065400153398514,-0.20859200161651792,100,5.0,0.4449541687888047,0.5247221311519202
P-E,SA,exact_advantage,1002,5611e1dbe7a7be4a4dcba9c2ce8f1012a1d306922dd5a74381c6f001f10c1ae6,32,532,32,500,0.054114113906015296,0.18456463896135206,0.01241388609398461,0.06376767961798217,1.587016044869186,5.052461791337324,0.41024901882140385,5.129901302866921,0.36,1.9599999999999997,0.005168800242245197,-0.19790065866616607,100,5.0,0.4253630782985076,0.49555744526659223
